"","date","DKb_NewCases","DKb_svnDavg","Ful_NewCases","Ful_svnDavg","DekalbREL","FultonREL"
"93","2020-06-02",8,54.5714285714286,17,58.2857142857143,7.18709919457453,5.47798066595059
"94","2020-06-03",71,43,50,54.1428571428571,5.66313313499197,5.08861439312567
"95","2020-06-04",65,43.4285714285714,36,51,5.71957632238392,4.79323308270677
"96","2020-06-05",47,38.2857142857143,66,42.8571428571429,5.04225807368056,4.02792696025779
"97","2020-06-06",22,39.5714285714286,32,45,5.2115876358564,4.22932330827068
"98","2020-06-07",4,39.7142857142857,1,42.7142857142857,5.23040203165372,4.01450053705693
"99","2020-06-08",42,37,64,38,4.87292851150472,3.57142857142857
"100","2020-06-09",66,45.2857142857143,38,41,5.96416346774902,3.85338345864662
"101","2020-06-10",66,44.5714285714286,64,43,5.87009148876244,4.04135338345865
"102","2020-06-11",43,41.4285714285714,42,43.8571428571429,5.4561747812215,4.1219119226638
"103","2020-06-12",53,42.2857142857143,38,39.8571428571429,5.56906115600539,3.74597207303974
"104","2020-06-13",21,42.1428571428571,31,39.7142857142857,5.55024676020808,3.73254564983888
"105","2020-06-14",8,42.7142857142857,6,40.4285714285714,5.62550434339734,3.79967776584318
"106","2020-06-15",44,43,51,38.5714285714286,5.66313313499197,3.62513426423201
"107","2020-06-16",56,41.5714285714286,-9,31.8571428571429,5.47498917701882,2.99409237379162
"108","2020-06-17",78,43.2857142857143,144,43.2857142857143,5.7007619265866,4.06820622986036
"109","2020-06-18",52,44.5714285714286,33,42,5.87009148876244,3.94736842105263
"110","2020-06-19",96,50.7142857142857,75,47.2857142857143,6.67911050804701,4.44414607948443
"111","2020-06-20",29,51.8571428571429,44,49.1428571428571,6.82962567442554,4.6186895810956
"112","2020-06-21",28,54.7142857142857,52,55.7142857142857,7.20591359037185,5.23630504833512
"113","2020-06-22",97,62.2857142857143,209,78.2857142857143,8.20307656762957,7.35767991407089
"114","2020-06-23",251,90.1428571428571,180,105.285714285714,11.8718837481061,9.8952738990333
"115","2020-06-24",116,95.5714285714286,167,108.571428571429,12.5868307884041,10.2040816326531
"116","2020-06-25",100,102.428571428571,111,119.714285714286,13.4899217866752,11.2513426423201
"117","2020-06-26",64,97.8571428571429,187,135.714285714286,12.8878611211611,12.7551020408163
"118","2020-06-27",82,105.428571428571,156,151.714285714286,13.8850240984189,14.2588614393126
"119","2020-06-28",44,107.714285714286,104,159.142857142857,14.1860544311759,14.9570354457572
"120","2020-06-29",21,96.8571428571429,38,134.714285714286,12.7561603505799,12.6611170784103
"121","2020-06-30",372,114.142857142857,317,154.285714285714,15.0327022420551,14.500537056928
"122","2020-07-01",118,114.428571428571,312,175,15.0703310336497,16.4473684210526
"123","2020-07-02",213,130.571428571429,250,194.857142857143,17.1963577587464,18.3136412459721
"124","2020-07-03",209,151.285714285714,386,223.285714285714,19.9244451493571,20.9854994629431
"125","2020-07-04",308,183.571428571429,520,275.285714285714,24.1764985995504,25.8727175080559
"126","2020-07-05",216,208.142857142857,219,291.714285714286,27.4125746766887,27.4167561761547
"127","2020-07-06",145,225.857142857143,231,319.285714285714,29.7455597555558,30.0080558539205
"128","2020-07-07",108,188.142857142857,183,300.142857142857,24.7785592650645,28.2089151450054
"129","2020-07-08",204,200.428571428571,292,297.285714285714,26.3965973036337,27.9403866809882
"130","2020-07-09",110,185.714285714286,228,294.142857142857,24.4587145365102,27.6450053705693
"131","2020-07-10",501,227.428571428571,435,301.142857142857,29.9525181093263,28.3029001074114
"132","2020-07-11",171,207.857142857143,333,274.428571428571,27.3749458850941,25.7921589688507
"133","2020-07-12",109,192.571428571429,241,277.571428571429,25.3618055347813,26.0875402792696
"134","2020-07-13",365,224,485,313.857142857143,29.5009726101907,29.4978517722879
"135","2020-07-14",166,232.285714285714,274,326.857142857143,30.592207566435,30.7196562835661
"136","2020-07-15",196,231.142857142857,392,341.142857142857,30.4416924000565,32.062298603652
"137","2020-07-16",185,241.857142857143,438,371.142857142857,31.8527720848552,34.8818474758324
"138","2020-07-17",143,190.714285714286,400,366.142857142857,25.1172183894162,34.4119226638024
"139","2020-07-18",289,207.571428571429,288,359.714285714286,27.3373170934995,33.8077336197637
"140","2020-07-19",135,211.285714285714,245,360.285714285714,27.8264913842297,33.8614393125671
"141","2020-07-20",68,168.857142857143,262,328.428571428571,22.2386158324269,30.8673469387755
"142","2020-07-21",150,166.571428571429,400,346.428571428571,21.9375854996699,32.5590762620838
"143","2020-07-22",253,174.714285714286,390,346.142857142857,23.0100060601169,32.5322234156821
"144","2020-07-23",277,187.857142857143,504,355.571428571429,24.7409304734699,33.4183673469388
"145","2020-07-24",287,208.428571428571,548,376.714285714286,27.4502034682833,35.4054779806659
"146","2020-07-25",258,204,428,396.714285714286,26.8669571985666,37.2851772287863
"147","2020-07-26",134,203.857142857143,194,389.428571428571,26.8481428027693,36.6004296455424
"148","2020-07-27",122,211.571428571429,230,384.857142857143,27.8641201758243,36.1707841031149
"149","2020-07-28",213,220.571428571429,409,386.142857142857,29.0494271110552,36.2916219119227
